"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Pick Location",,"Parent Product Images",
77,2547,,"00014565","0001456510",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,2548,,"00014565","0001456511",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
78,2581,,"00014577","0001457700",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,501,,"00014577","0001457701",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,502,,"00014577","0001457702",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,503,,"00014577","0001457703",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,504,,"00014577","0001457704",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,505,,"00014577","0001457705",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,506,,"00014577","0001457706",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,507,,"00014577","0001457707",,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
