PLU,Style,Colour,Size,EAN,Pick Location,ImageURL,FashBCode
0002390600,52188,BRIDGE/VT,,-,,https://www.leathercompany.co.uk/images/products/zoom/1704735984-56060200.jpg,9900023906000
0002439000,52188,RED/CROC,,-,,,9900024390006
0002795500,52216,COGNAC/CROC,,-,,,9900027955004
0002304500,52234,BLACK,,-,,,9900023045006
0002390700,52234,BLACK/VT,,5060821284008,M-02,https://www.leathercompany.co.uk/images/products/zoom/1704728977-75196600.jpg,9900023907007
0003544300,52234,BORDO/CROC,,5056798417174,M-02,https://www.leathercompany.co.uk/images/products/zoom/1727541852-28825900.jpg,9900035443005
0002390800,52234,BRIDGE/VT,,5061042992680,A-10C,https://www.leathercompany.co.uk/images/products/zoom/1702140078-88757700.jpg,9900023908004
0005294100,52234,BROWN/CROC,,5056798417204,M-02,https://www.leathercompany.co.uk/images/products/zoom/1727541097-50222900.jpg,9900052941003
0005293900,52234,COGNAC/CROC,,5056798417167,M-02,https://www.leathercompany.co.uk/images/products/zoom/1727542928-92477600.jpg,9900052939000
0005294000,52234,GREEN/CROC,,5056798417181,M-02,https://www.leathercompany.co.uk/images/products/zoom/1727539872-50309700.jpg,9900052940006
0005296000,52234,NAVY/CROC,,5056798417198,M-02,https://www.leathercompany.co.uk/images/products/zoom/1727779797-87968900.jpg,9900052960004
0002438800,52234,RED/CROC,,-,,,9900024388003
0005296700,52235,BRIDGE,ONE SIZE,5060474520140,K-09,https://www.leathercompany.co.uk/images/products/zoom/1727711573-58298400.jpg,9900052967003
0005295700,52235,COGNAC/CROC,ONE SIZE,5056798417365,K-09,https://www.leathercompany.co.uk/images/products/zoom/1727538507-42739700.jpg,9900052957004
0005295800,52235,GREEN/CROC,ONE SIZE,5056798417372,K-09,https://www.leathercompany.co.uk/images/products/zoom/1727538268-65583000.jpg,9900052958001
0005295900,52235,NAVY/CROC,ONE SIZE,5056798417389,K-09,https://www.leathercompany.co.uk/images/products/zoom/1727538078-08254500.jpg,9900052959008
0005078000,52531,BROWN,ONE SIZE,5061049604883,A-17A,https://www.leathercompany.co.uk/images/products/zoom/1710854406-53926900.jpg,9900050780000
0005078100,52752,TAN,ONE SIZE,5061049604890,A-16A,https://www.leathercompany.co.uk/images/products/zoom/1710854522-75965100.jpg,9900050781007
0003751200,52777-A,BLACK,,-,,https://www.leathercompany.co.uk/images/products/1642600108-59801600.jpg,9900037512006
0000879600,52884 CW,BROWN,,-,,,9900008796008
0000879500,52885 CW,BROWN,,-,,,9900008795001
