Brand,Style,Colour,Size,Description,PLU,EAN,SKU,Comm Code,
ASHWOOD,026 HAT,BLACK,XXS,LACE FASTEN S/SKIN HAT,0000919901,,,,
ASHWOOD,026 HAT,BLACK,XS,LACE FASTEN S/SKIN HAT,0000919902,,,,
ASHWOOD,026 HAT,BLACK,S,LACE FASTEN S/SKIN HAT,0000919903,,,,
ASHWOOD,026 HAT,BLACK,M,LACE FASTEN S/SKIN HAT,0000919904,,,,
ASHWOOD,026 HAT,BLACK,L,LACE FASTEN S/SKIN HAT,0000919905,,,,
ASHWOOD,026 HAT,BLACK,XL,LACE FASTEN S/SKIN HAT,0000919906,,,,
ASHWOOD,026 HAT,BLACK,2XL,LACE FASTEN S/SKIN HAT,0000919907,,,,
ASHWOOD,026 HAT,BLACK,3XL,LACE FASTEN S/SKIN HAT,0000919908,,,,
ASHWOOD,026 HAT,BLACK,4XL,LACE FASTEN S/SKIN HAT,0000919909,,,,
ASHWOOD,026 HAT,BLACK,5XL,LACE FASTEN S/SKIN HAT,0000919910,,,,
ASHWOOD,026 HAT,BLACK,6XL,LACE FASTEN S/SKIN HAT,0000919911,,,,
ASHWOOD,026 HAT,BLACK,7XL,LACE FASTEN S/SKIN HAT,0000919912,,,,
ASHWOOD,026 HAT,BLACK,8XL,LACE FASTEN S/SKIN HAT,0000919913,,,,
ASHWOOD,026 HAT,BLACK,9XL,LACE FASTEN S/SKIN HAT,0000919914,,,,
ASHWOOD,026 HAT,BRN/WHITE,XXXS,LACE FASTEN S/SKIN HAT,0003981500,,,,
ASHWOOD,026 HAT,BRN/WHITE,XXS,LACE FASTEN S/SKIN HAT,0003981501,,,,
ASHWOOD,026 HAT,BRN/WHITE,XS,LACE FASTEN S/SKIN HAT,0003981502,,,,
ASHWOOD,026 HAT,BRN/WHITE,S,LACE FASTEN S/SKIN HAT,0003981503,,,,
ASHWOOD,026 HAT,BRN/WHITE,M,LACE FASTEN S/SKIN HAT,0003981504,,,,
ASHWOOD,026 HAT,BRN/WHITE,L,LACE FASTEN S/SKIN HAT,0003981505,,,,
ASHWOOD,026 HAT,BRN/WHITE,XL,LACE FASTEN S/SKIN HAT,0003981506,,,,
ASHWOOD,026 HAT,BRN/WHITE,2XL,LACE FASTEN S/SKIN HAT,0003981507,,,,
ASHWOOD,026 HAT,BRN/WHITE,3XL,LACE FASTEN S/SKIN HAT,0003981508,,,,
ASHWOOD,026 HAT,BRN/WHITE,4XL,LACE FASTEN S/SKIN HAT,0003981509,,,,
ASHWOOD,026 HAT,BRN/WHITE,5XL,LACE FASTEN S/SKIN HAT,0003981510,,,,
ASHWOOD,026 HAT,BRN/WHITE,6XL,LACE FASTEN S/SKIN HAT,0003981511,,,,
ASHWOOD,026 HAT,BRN/WHITE,7XL,LACE FASTEN S/SKIN HAT,0003981512,,,,
ASHWOOD,026 HAT,BRN/WHITE,8XL,LACE FASTEN S/SKIN HAT,0003981513,,,,
ASHWOOD,026 HAT,BRN/WHITE,9XL,LACE FASTEN S/SKIN HAT,0003981514,,,,
ASHWOOD,026 HAT,BROWN,XXXS,LACE FASTEN S/SKIN HAT,0000921300,,,,
ASHWOOD,026 HAT,BROWN,XXS,LACE FASTEN S/SKIN HAT,0000921301,,,,
ASHWOOD,026 HAT,BROWN,XS,LACE FASTEN S/SKIN HAT,0000921302,,,,
ASHWOOD,026 HAT,BROWN,S,LACE FASTEN S/SKIN HAT,0000921303,,,,
ASHWOOD,026 HAT,BROWN,M,LACE FASTEN S/SKIN HAT,0000921304,,,,
ASHWOOD,026 HAT,BROWN,L,LACE FASTEN S/SKIN HAT,0000921305,,,,
ASHWOOD,026 HAT,BROWN,XL,LACE FASTEN S/SKIN HAT,0000921306,,,,
ASHWOOD,026 HAT,BROWN,2XL,LACE FASTEN S/SKIN HAT,0000921307,,,,
ASHWOOD,026 HAT,BROWN,3XL,LACE FASTEN S/SKIN HAT,0000921308,,,,
ASHWOOD,026 HAT,BROWN,4XL,LACE FASTEN S/SKIN HAT,0000921309,,,,
ASHWOOD,026 HAT,BROWN,5XL,LACE FASTEN S/SKIN HAT,0000921310,,,,
ASHWOOD,026 HAT,BROWN,6XL,LACE FASTEN S/SKIN HAT,0000921311,,,,
ASHWOOD,026 HAT,BROWN,7XL,LACE FASTEN S/SKIN HAT,0000921312,,,,
ASHWOOD,026 HAT,BROWN,8XL,LACE FASTEN S/SKIN HAT,0000921313,,,,
ASHWOOD,026 HAT,BROWN,9XL,LACE FASTEN S/SKIN HAT,0000921314,,,,
ASHWOOD,026 HAT,TAUPE,XXXS,LACE FASTEN S/SKIN HAT,0002247400,,,,
ASHWOOD,026 HAT,TAUPE,XXS,LACE FASTEN S/SKIN HAT,0002247401,,,,
ASHWOOD,026 HAT,TAUPE,XS,LACE FASTEN S/SKIN HAT,0002247402,,,,
ASHWOOD,026 HAT,TAUPE,S,LACE FASTEN S/SKIN HAT,0002247403,,,,
ASHWOOD,026 HAT,TAUPE,M,LACE FASTEN S/SKIN HAT,0002247404,,,,
ASHWOOD,026 HAT,TAUPE,L,LACE FASTEN S/SKIN HAT,0002247405,,,,
ASHWOOD,026 HAT,TAUPE,XL,LACE FASTEN S/SKIN HAT,0002247406,,,,
ASHWOOD,026 HAT,TAUPE,2XL,LACE FASTEN S/SKIN HAT,0002247407,,,,
ASHWOOD,026 HAT,TAUPE,3XL,LACE FASTEN S/SKIN HAT,0002247408,,,,
ASHWOOD,026 HAT,TAUPE,4XL,LACE FASTEN S/SKIN HAT,0002247409,,,,
ASHWOOD,026 HAT,TAUPE,5XL,LACE FASTEN S/SKIN HAT,0002247410,,,,
ASHWOOD,026 HAT,TAUPE,6XL,LACE FASTEN S/SKIN HAT,0002247411,,,,
ASHWOOD,026 HAT,TAUPE,7XL,LACE FASTEN S/SKIN HAT,0002247412,,,,
ASHWOOD,026 HAT,TAUPE,8XL,LACE FASTEN S/SKIN HAT,0002247413,,,,
ASHWOOD,026 HAT,TAUPE,9XL,LACE FASTEN S/SKIN HAT,0002247414,,,,
ASHWOOD,030-T,BLACK/BRISSA,XXXS,s/skin/material hats,0004094400,,,,
ASHWOOD,030-T,BLACK/BRISSA,XXS,s/skin/material hats,0004094401,,,,
ASHWOOD,030-T,BLACK/BRISSA,XS,s/skin/material hats,0004094402,,,,
ASHWOOD,030-T,BLACK/BRISSA,S,s/skin/material hats,0004094403,,,,
ASHWOOD,030-T,BLACK/BRISSA,M,s/skin/material hats,0004094404,,,,
ASHWOOD,030-T,BLACK/BRISSA,L,s/skin/material hats,0004094405,,,,
ASHWOOD,030-T,BLACK/BRISSA,XL,s/skin/material hats,0004094406,,,,
ASHWOOD,030-T,BLACK/BRISSA,2XL,s/skin/material hats,0004094407,,,,
ASHWOOD,030-T,BLACK/BRISSA,3XL,s/skin/material hats,0004094408,,,,
ASHWOOD,030-T,BLACK/BRISSA,4XL,s/skin/material hats,0004094409,,,,
ASHWOOD,030-T,BLACK/BRISSA,5XL,s/skin/material hats,0004094410,,,,
ASHWOOD,030-T,BLACK/BRISSA,6XL,s/skin/material hats,0004094411,,,,
ASHWOOD,030-T,BLACK/BRISSA,7XL,s/skin/material hats,0004094412,,,,
ASHWOOD,030-T,BLACK/BRISSA,8XL,s/skin/material hats,0004094413,,,,
ASHWOOD,030-T,BLACK/BRISSA,9XL,s/skin/material hats,0004094414,,,,
ASHWOOD,030-T,NAVY,XXXS,s/skin/material hats,0003557600,,,,
ASHWOOD,030-T,NAVY,XXS,s/skin/material hats,0003557601,,,,
ASHWOOD,030-T,NAVY,XS,s/skin/material hats,0003557602,,,,
ASHWOOD,030-T,NAVY,S,s/skin/material hats,0003557603,,,,
ASHWOOD,030-T,NAVY,M,s/skin/material hats,0003557604,,,,
ASHWOOD,030-T,NAVY,L,s/skin/material hats,0003557605,,,,
ASHWOOD,030-T,NAVY,XL,s/skin/material hats,0003557606,,,,
ASHWOOD,030-T,NAVY,2XL,s/skin/material hats,0003557607,,,,
ASHWOOD,030-T,NAVY,3XL,s/skin/material hats,0003557608,,,,
ASHWOOD,030-T,NAVY,4XL,s/skin/material hats,0003557609,,,,
ASHWOOD,030-T,NAVY,5XL,s/skin/material hats,0003557610,,,,
ASHWOOD,030-T,NAVY,6XL,s/skin/material hats,0003557611,,,,
ASHWOOD,030-T,NAVY,7XL,s/skin/material hats,0003557612,,,,
ASHWOOD,030-T,NAVY,8XL,s/skin/material hats,0003557613,,,,
ASHWOOD,030-T,NAVY,9XL,s/skin/material hats,0003557614,,,,
ASHWOOD,030-T,OLIVE,XXXS,s/skin/material hats,0003559100,,,,
ASHWOOD,030-T,OLIVE,XXS,s/skin/material hats,0003559101,,,,
ASHWOOD,030-T,OLIVE,XS,s/skin/material hats,0003559102,,,,
ASHWOOD,030-T,OLIVE,S,s/skin/material hats,0003559103,,,,
ASHWOOD,030-T,OLIVE,M,s/skin/material hats,0003559104,,,,
ASHWOOD,030-T,OLIVE,L,s/skin/material hats,0003559105,,,,
ASHWOOD,030-T,OLIVE,XL,s/skin/material hats,0003559106,,,,
ASHWOOD,030-T,OLIVE,2XL,s/skin/material hats,0003559107,,,,
ASHWOOD,030-T,OLIVE,3XL,s/skin/material hats,0003559108,,,,
ASHWOOD,030-T,OLIVE,4XL,s/skin/material hats,0003559109,,,,
ASHWOOD,030-T,OLIVE,5XL,s/skin/material hats,0003559110,,,,
ASHWOOD,030-T,OLIVE,6XL,s/skin/material hats,0003559111,,,,
ASHWOOD,030-T,OLIVE,7XL,s/skin/material hats,0003559112,,,,
ASHWOOD,030-T,OLIVE,8XL,s/skin/material hats,0003559113,,,,
ASHWOOD,030-T,OLIVE,9XL,s/skin/material hats,0003559114,,,,
ASHWOOD,034,BLACK,S/M,SHEEPSKIN HAT,0003699900,,,,
ASHWOOD,034,BLACK,L/XL,SHEEPSKIN HAT,0003699901,,,,
ASHWOOD,034,BLACK,XXS/XS,SHEEPSKIN HAT,0003699902,,,,
ASHWOOD,034,BROWN,S/M,SHEEPSKIN HAT,0003700200,,,,
ASHWOOD,034,BROWN,L/XL,SHEEPSKIN HAT,0003700201,,,,
ASHWOOD,034,BROWN,XXS/XS,SHEEPSKIN HAT,0003700202,,,,
ASHWOOD,034,MID BROWN,S/M,SHEEPSKIN HAT,0003700500,,,,
ASHWOOD,034,MID BROWN,L/XL,SHEEPSKIN HAT,0003700501,,,,
ASHWOOD,034,MID BROWN,XXS/XS,SHEEPSKIN HAT,0003700502,,,,
ASHWOOD,035K,BLK/BLK,XXXS,TRAPPER SHEEPSKIN HAT,0004072800,,,,
ASHWOOD,035K,BLK/BLK,XXS,TRAPPER SHEEPSKIN HAT,0004072801,,,,
ASHWOOD,035K,BLK/BLK,XS,TRAPPER SHEEPSKIN HAT,0004072802,,,,
ASHWOOD,035K,BLK/BLK,S,TRAPPER SHEEPSKIN HAT,0004072803,,,,
ASHWOOD,035K,BLK/BLK,M,TRAPPER SHEEPSKIN HAT,0004072804,,,,
ASHWOOD,035K,BLK/BLK,L,TRAPPER SHEEPSKIN HAT,0004072805,,,,
ASHWOOD,035K,BLK/BLK,XL,TRAPPER SHEEPSKIN HAT,0004072806,,,,
ASHWOOD,035K,BLK/BLK,2XL,TRAPPER SHEEPSKIN HAT,0004072807,,,,
ASHWOOD,035K,BLK/BLK,3XL,TRAPPER SHEEPSKIN HAT,0004072808,,,,
ASHWOOD,035K,BLK/BLK,4XL,TRAPPER SHEEPSKIN HAT,0004072809,,,,
ASHWOOD,035K,BLK/BLK,5XL,TRAPPER SHEEPSKIN HAT,0004072810,,,,
ASHWOOD,035K,BLK/BLK,6XL,TRAPPER SHEEPSKIN HAT,0004072811,,,,
ASHWOOD,035K,BLK/BLK,7XL,TRAPPER SHEEPSKIN HAT,0004072812,,,,
ASHWOOD,035K,BLK/BLK,8XL,TRAPPER SHEEPSKIN HAT,0004072813,,,,
ASHWOOD,035K,BLK/BLK,9XL,TRAPPER SHEEPSKIN HAT,0004072814,,,,
ASHWOOD,035K,BRN/WHITE,XXXS,TRAPPER SHEEPSKIN HAT,0004074300,,,,
ASHWOOD,035K,BRN/WHITE,XXS,TRAPPER SHEEPSKIN HAT,0004074301,,,,
