Product List Export Only,,,,,,,,,,,,,Date Range 01/07/2007 to 03/07/2026,,,,
Brand,Style,Colour,Size,Description,VAT Rate,Cost,Retail,Season,Supplier,Category,Department,CommCode,,Barcode,SKU,PLU,FashBCode
ASHWOOD,018S,BLACK/BRISSA,8XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077313,9900040773135
ASHWOOD,018S,BLACK/BRISSA,9XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077314,9900040773142
ASHWOOD,018S,BROWN/BRISSA,XXXS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565500,9900035655002
ASHWOOD,018S,BROWN/BRISSA,XXS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565501,9900035655019
ASHWOOD,018S,BROWN/BRISSA,XS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565502,9900035655026
ASHWOOD,018S,BROWN/BRISSA,S,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565503,9900035655033
ASHWOOD,018S,BROWN/BRISSA,M,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565504,9900035655040
ASHWOOD,018S,BROWN/BRISSA,L,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565505,9900035655057
ASHWOOD,018S,BROWN/BRISSA,XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565506,9900035655064
ASHWOOD,018S,BROWN/BRISSA,2XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565507,9900035655071
ASHWOOD,018S,BROWN/BRISSA,3XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565508,9900035655088
ASHWOOD,018S,BROWN/BRISSA,4XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565509,9900035655095
ASHWOOD,018S,BROWN/BRISSA,5XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565510,9900035655101
ASHWOOD,018S,BROWN/BRISSA,6XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565511,9900035655118
ASHWOOD,018S,BROWN/BRISSA,7XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565512,9900035655125
ASHWOOD,018S,BROWN/BRISSA,8XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565513,9900035655132
ASHWOOD,018S,BROWN/BRISSA,9XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003565514,9900035655149
ASHWOOD,018S,TAN/BRN,XXXS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085300,9900040853004
ASHWOOD,018S,TAN/BRN,XXS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085301,9900040853011
ASHWOOD,018S,TAN/BRN,XS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085302,9900040853028
ASHWOOD,018S,TAN/BRN,S,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085303,9900040853035
ASHWOOD,018S,TAN/BRN,M,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085304,9900040853042
ASHWOOD,018S,TAN/BRN,L,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085305,9900040853059
ASHWOOD,018S,TAN/BRN,XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085306,9900040853066
ASHWOOD,018S,TAN/BRN,2XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085307,9900040853073
ASHWOOD,018S,TAN/BRN,3XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085308,9900040853080
ASHWOOD,018S,TAN/BRN,4XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004085309,9900040853097
