"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Product Subtitle",,"Attribute 1 (Size)",,"Model Number",EAN,,"Pick Location",,"Parent Product Images",,"Meta Keywords",
77,2547,,"00014565","0001456510",,"Mid Brown",,26,,AWL-672,,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,2548,,"00014565","0001456511",,"Mid Brown",,28,,AWL-672,,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
78,2581,,"00014577","0001457700",,Black/ddy,,6,,AWL-709,,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,501,,"00014577","0001457701",,Black/ddy,,8,,AWL-709,5056798436984,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,502,,"00014577","0001457702",,Black/ddy,,10,,AWL-709,5056798436991,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,503,,"00014577","0001457703",,Black/ddy,,12,,AWL-709,5056798437004,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,504,,"00014577","0001457704",,Black/ddy,,14,,AWL-709,5056798437011,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,505,,"00014577","0001457705",,Black/ddy,,16,,AWL-709,5056798437028,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,506,,"00014577","0001457706",,Black/ddy,,18,,AWL-709,5056798437035,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,507,,"00014577","0001457707",,Black/ddy,,20,,AWL-709,5056798437042,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
78,508,,"00014577","0001457708",,Black/ddy,,22,,AWL-709,5056798437059,,Z-35,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",,"Womens Leather Jacket,Black Leather Jacket,Women Black Leather Jacket,Ladies Leather Jacket,Ladies Black Leather Jacket, Womens Leather Jackets,girl black leather jackets,leather for women,leather jackets women,womens leather,womens leather jacket,fashion",
