"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",,"Model Number",EAN,,"Price (Inc VAT)","Sale Price (Inc VAT)",,"Stock Value",,"Parent Product Images",
78,2581,,"00014577","0001457700",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,,,269.000,149.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,501,,"00014577","0001457701",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798436984,,269.000,149.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,502,,"00014577","0001457702",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798436991,,269.000,149.000,,3,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,503,,"00014577","0001457703",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437004,,269.000,149.000,,3,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,504,,"00014577","0001457704",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437011,,269.000,149.000,,4,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,505,,"00014577","0001457705",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437028,,269.000,149.000,,1,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,506,,"00014577","0001457706",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437035,,269.000,149.000,,2,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,507,,"00014577","0001457707",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437042,,289.000,169.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,508,,"00014577","0001457708",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437059,,309.000,189.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
78,509,,"00014577","0001457709",,"Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Black: AWL-709",,AWL-709,5056798437066,,329.000,209.000,,3,,"https://www.leathercompany.co.uk/images/products/zoom/1759422115-41393100.jpg
https://www.leathercompany.co.uk/images/products/1759422116-84459700.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422119-53582600.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422122-54746000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1759422125-55721300.jpg",
